Aika,Pumppaamo,Nimi,"Lähtövirtaama
m3","Korjattu Lähtövirtaama
m3","P1 käyntiaika
min","P2 käyntiaika
min","P3 käyntiaika
min","P4 käyntiaika
min","P5 käyntiaika
min","Myyty vesimäärä
m3","Aluevirtaama
m3"
01/01/2015,JVP1020,Suutarila,4,615,18,18,0,,,269,-102
01/01/2015 01:00,JVP1020,Suutarila,4,615,16,18,0,,,269,-101
01/01/2015 02:00,JVP1020,Suutarila,4,615,16,16,0,,,269,-102
01/01/2015 03:00,JVP1020,Suutarila,4,615,16,16,0,,,269,-85
01/01/2015 04:00,JVP1020,Suutarila,4,615,14,14,0,,,269,-61
01/01/2015 05:00,JVP1020,Suutarila,4,615,14,14,0,,,269,-80
01/01/2015 06:00,JVP1020,Suutarila,2,615,12,13,0,,,269,-77
01/01/2015 07:00,JVP1020,Suutarila,2,615,14,10,0,,,269,-62
01/01/2015 08:00,JVP1020,Suutarila,4,615,12,10,0,,,269,-80
01/01/2015 09:00,JVP1020,Suutarila,4,615,14,14,0,,,269,-93
01/01/2015 10:00,JVP1020,Suutarila,4,615,14,16,0,,,269,-110
01/01/2015 11:00,JVP1020,Suutarila,4,615,18,16,0,,,269,-129
01/01/2015 12:00,JVP1020,Suutarila,4,615,22,17,0,,,269,-143
01/01/2015 13:00,JVP1020,Suutarila,4,615,29,18,0,,,269,-156
01/01/2015 14:00,JVP1020,Suutarila,6,615,22,30,0,,,269,-153
01/01/2015 15:00,JVP1020,Suutarila,4,615,22,32,0,,,269,-141
01/01/2015 16:00,JVP1020,Suutarila,4,615,34,18,0,,,269,-130
01/01/2015 17:00,JVP1020,Suutarila,6,615,20,24,0,,,269,-159
01/01/2015 18:00,JVP1020,Suutarila,4,615,23,21,0,,,269,-151
01/01/2015 19:00,JVP1020,Suutarila,6,615,30,18,0,,,269,-152
01/01/2015 20:00,JVP1020,Suutarila,4,615,32,24,0,,,269,-176
01/01/2015 21:00,JVP1020,Suutarila,4,615,24,34,0,,,269,-165
01/01/2015 22:00,JVP1020,Suutarila,4,615,29,33,0,,,269,-123
01/01/2015 23:00,JVP1020,Suutarila,6,615,22,26,0,,,269,-96
02/01/2015,JVP1020,Suutarila,4,615,20,18,0,,,269,-98
02/01/2015 01:00,JVP1020,Suutarila,4,615,18,18,0,,,269,-72
02/01/2015 02:00,JVP1020,Suutarila,4,615,16,16,0,,,269,-81
02/01/2015 03:00,JVP1020,Suutarila,4,615,14,16,0,,,269,-63
02/01/2015 04:00,JVP1020,Suutarila,2,615,14,15,0,,,269,-69
02/01/2015 05:00,JVP1020,Suutarila,2,615,12,13,0,,,269,-49
02/01/2015 06:00,JVP1020,Suutarila,4,615,14,14,0,,,269,-47
02/01/2015 07:00,JVP1020,Suutarila,4,615,16,15,0,,,269,-62
02/01/2015 08:00,JVP1020,Suutarila,4,615,18,22,0,,,269,-71
02/01/2015 09:00,JVP1020,Suutarila,4,615,23,18,0,,,269,-89
02/01/2015 10:00,JVP1020,Suutarila,6,615,36,26,0,,,269,-137
02/01/2015 11:00,JVP1020,Suutarila,4,615,33,33,0,,,269,-231
02/01/2015 12:00,JVP1020,Suutarila,6,615,38,36,0,,,269,-221
02/01/2015 13:00,JVP1020,Suutarila,36,615,38,38,0,,,269,-207
02/01/2015 14:00,JVP1020,Suutarila,204,204,48,15,0,,,269,-63
02/01/2015 15:00,JVP1020,Suutarila,386,386,14,38,0,,,269,138
02/01/2015 16:00,JVP1020,Suutarila,92,92,16,48,0,,,269,-161
02/01/2015 17:00,JVP1020,Suutarila,228,228,36,38,0,,,269,-15
02/01/2015 18:00,JVP1020,Suutarila,138,138,38,38,0,,,269,-100
02/01/2015 19:00,JVP1020,Suutarila,164,164,36,38,0,,,269,-87
02/01/2015 20:00,JVP1020,Suutarila,204,204,21,47,0,,,269,-65
02/01/2015 21:00,JVP1020,Suutarila,302,302,28,36,0,,,269,48
02/01/2015 22:00,JVP1020,Suutarila,106,106,38,36,0,,,269,-137
02/01/2015 23:00,JVP1020,Suutarila,6,615,38,38,0,,,269,-199
03/01/2015,JVP1020,Suutarila,4,615,34,36,0,,,269,-181
03/01/2015 01:00,JVP1020,Suutarila,4,615,34,32,0,,,269,-175
03/01/2015 02:00,JVP1020,Suutarila,4,615,18,32,0,,,269,-156
03/01/2015 03:00,JVP1020,Suutarila,6,615,18,25,0,,,269,-135
03/01/2015 04:00,JVP1020,Suutarila,6,615,22,18,0,,,269,-130
03/01/2015 05:00,JVP1020,Suutarila,4,615,18,18,0,,,269,-130
03/01/2015 06:00,JVP1020,Suutarila,4,615,20,18,0,,,269,-134
03/01/2015 07:00,JVP1020,Suutarila,4,615,18,18,0,,,269,-139
03/01/2015 08:00,JVP1020,Suutarila,4,615,19,18,0,,,269,-146
03/01/2015 09:00,JVP1020,Suutarila,6,615,22,20,0,,,269,-180
03/01/2015 10:00,JVP1020,Suutarila,4,615,34,24,0,,,269,-216
03/01/2015 11:00,JVP1020,Suutarila,6,615,34,34,0,,,269,-222
03/01/2015 12:00,JVP1020,Suutarila,4,615,38,36,0,,,269,-220
03/01/2015 13:00,JVP1020,Suutarila,4,615,38,38,0,,,269,-253
03/01/2015 14:00,JVP1020,Suutarila,6,615,38,38,0,,,269,-225
03/01/2015 15:00,JVP1020,Suutarila,6,615,38,38,0,,,269,-207
03/01/2015 16:00,JVP1020,Suutarila,4,615,36,34,0,,,269,-198
03/01/2015 17:00,JVP1020,Suutarila,4,615,38,38,0,,,269,-213
03/01/2015 18:00,JVP1020,Suutarila,6,615,36,36,0,,,269,-227
03/01/2015 19:00,JVP1020,Suutarila,6,615,37,37,0,,,269,-217
03/01/2015 20:00,JVP1020,Suutarila,4,615,39,37,0,,,269,-232
03/01/2015 21:00,JVP1020,Suutarila,4,615,36,36,0,,,269,-221
03/01/2015 22:00,JVP1020,Suutarila,6,615,38,38,0,,,269,-207
03/01/2015 23:00,JVP1020,Suutarila,6,615,34,34,0,,,269,-172
